,No_Of_Rooms,locality,lease_type,gym,lift,swimming_pool,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,true_count
4465,BHK3,Padmanabhanagar,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,1400,8.0,2.0,W,6.0,3.0,3.0,CORP_BORE,AP,4.0,17000.0,3
4466,BHK1,RR Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,FOUR_WHEELER,500,0.0,1.0,E,1.0,0.0,2.0,CORP_BORE,IF,0.0,9000.0,1
4467,BHK1,Vinayaka Nagar,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,400,2.0,1.0,N,1.0,1.0,4.0,CORP_BORE,IF,0.0,8500.0,1
4468,BHK2,"Eastwood Township,Harlur",ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1174,0.0,2.0,S,2.0,8.0,15.0,BOREWELL,AP,1.0,27000.0,14
4469,BHK3,Kaikondrahalli,FAMILY,1,1,1,0,SEMI_FURNISHED,BOTH,1680,0.0,3.0,E,3.0,6.0,13.0,CORP_BORE,AP,1.0,35000.0,16
4470,BHK2,BTM Layout,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,1180,5.0,2.0,N,2.0,1.0,4.0,CORP_BORE,AP,1.0,20000.0,5
4471,BHK1,HSR Layout,FAMILY,0,0,0,0,SEMI_FURNISHED,BOTH,450,4.0,1.0,E,1.0,0.0,1.0,CORP_BORE,IF,0.0,15000.0,1
4472,BHK2,"Keshava Nagar,Binnipete",FAMILY,1,1,1,1,FULLY_FURNISHED,BOTH,1490,5.0,2.0,W,2.0,10.0,17.0,CORP_BORE,AP,2.0,34000.0,14
4473,BHK2,Balagere,FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1180,1.0,2.0,NE,3.0,4.0,11.0,BOREWELL,AP,2.0,20000.0,14
4474,BHK2,"Brookefield, Bengaluru, Karnataka, India",FAMILY,0,0,0,0,SEMI_FURNISHED,FOUR_WHEELER,750,5.0,1.0,S,3.0,1.0,1.0,CORPORATION,IH,2.0,15000.0,2
4475,BHK1,Vijaya Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,400,10.0,1.0,S,5.0,0.0,1.0,CORPORATION,IH,0.0,8000.0,1
4476,BHK2,"Pattandur Agrahara,Whitefield",ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1156,3.0,2.0,W,6.0,0.0,4.0,CORP_BORE,AP,2.0,21000.0,6
4477,BHK3,RR Nagar,FAMILY,0,0,0,1,FULLY_FURNISHED,BOTH,2100,1.0,3.0,N,3.0,0.0,3.0,CORPORATION,IH,1.0,40000.0,1
4478,BHK2,HSR Layout,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,900,2.0,2.0,E,2.0,1.0,4.0,CORP_BORE,IF,0.0,24000.0,2
4479,BHK2,"Amarajyothi Nagar,Vijaya Nagar",FAMILY,1,1,1,1,FULLY_FURNISHED,BOTH,1315,3.0,2.0,E,2.0,1.0,4.0,CORP_BORE,AP,3.0,30000.0,17
4480,BHK2,Indiranagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,800,10.0,2.0,W,1.0,1.0,3.0,CORPORATION,IF,1.0,18000.0,3
4481,BHK3,Jayanagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1200,5.0,2.0,E,3.0,1.0,1.0,CORPORATION,IF,2.0,23000.0,1
4482,BHK2,"Marathahalli, Bengaluru, Karnataka, India",FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1155,7.0,2.0,E,1.0,3.0,4.0,CORP_BORE,AP,2.0,22500.0,6
4483,BHK2,Whitefield Hope Farm Junction,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1000,4.0,2.0,E,2.0,4.0,4.0,BOREWELL,AP,1.0,21000.0,10
4484,BHK2,Whitefield,FAMILY,0,0,0,1,NOT_FURNISHED,BOTH,900,-1.0,2.0,E,0.0,0.0,3.0,BOREWELL,IH,0.0,16000.0,4
4485,BHK2,RR Nagar,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,1200,10.0,2.0,N,3.0,1.0,5.0,CORP_BORE,AP,2.0,14000.0,7
4486,BHK2,Basavanagudi,FAMILY,0,1,0,0,SEMI_FURNISHED,FOUR_WHEELER,1100,5.0,2.0,N,4.0,3.0,3.0,CORPORATION,AP,1.0,28000.0,5
4487,BHK3,Doddanekkundi,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1419,2.0,3.0,E,3.0,5.0,9.0,CORP_BORE,AP,1.0,27900.0,13
4488,BHK2,Uttarahalli Hobli,FAMILY,0,0,0,0,SEMI_FURNISHED,BOTH,1050,3.0,2.0,E,2.0,2.0,3.0,CORP_BORE,IF,2.0,13000.0,2
4489,BHK2,JP Nagar 5th Phase,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1400,10.0,2.0,N,1.0,1.0,1.0,CORPORATION,IH,1.0,16000.0,3
4490,BHK1,B Narayanapura,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,500,0.0,1.0,E,1.0,1.0,2.0,CORP_BORE,IF,0.0,10000.0,3
4491,BHK3,"Devarabisanahalli,Bellandur",ANYONE,1,1,1,0,SEMI_FURNISHED,BOTH,1700,0.0,3.0,N,3.0,5.0,10.0,BOREWELL,AP,2.0,45000.0,9
4492,BHK1,BTM 2nd Stage,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,600,0.0,1.0,S,1.0,1.0,3.0,CORP_BORE,AP,0.0,16000.0,4
4493,BHK2,Basavanagara,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,880,8.0,2.0,E,2.0,1.0,3.0,CORPORATION,IF,1.0,16000.0,3
4494,BHK3,Banashankari,FAMILY,0,1,0,0,SEMI_FURNISHED,BOTH,1650,4.0,3.0,E,3.0,7.0,13.0,CORPORATION,AP,3.0,25000.0,7
4495,BHK3,RR Nagar,BACHELOR,0,0,0,1,NOT_FURNISHED,BOTH,1700,0.0,3.0,N,0.0,2.0,2.0,CORP_BORE,IF,1.0,25000.0,2
4496,BHK2,Vinayaka Nagar,FAMILY,0,0,0,0,SEMI_FURNISHED,BOTH,600,0.0,1.0,W,1.0,1.0,1.0,CORP_BORE,IF,0.0,17000.0,1
4497,BHK2,Jayanagara,FAMILY,0,1,0,1,SEMI_FURNISHED,BOTH,1000,5.0,2.0,N,2.0,2.0,3.0,CORP_BORE,AP,1.0,25500.0,7
4498,BHK1,Basaveshwar Nagar,FAMILY,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,750,8.0,1.0,E,0.0,3.0,3.0,CORP_BORE,IF,1.0,13500.0,1
4499,BHK3,Marathahalli,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,1750,5.0,3.0,W,3.0,4.0,4.0,CORP_BORE,AP,4.0,30000.0,4
4500,BHK2,Banashankari Stage I,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,750,25.0,2.0,S,2.0,1.0,2.0,CORPORATION,IF,1.0,13500.0,1
4501,BHK3,Nagarbhavi,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1100,3.0,3.0,W,3.0,2.0,3.0,CORP_BORE,IF,0.0,16000.0,3
4502,BHK2,BTM 2nd Stage,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1200,5.0,2.0,N,0.0,1.0,3.0,CORP_BORE,IF,1.0,22000.0,4
4503,BHK3,Marathahalli,FAMILY,0,0,0,1,SEMI_FURNISHED,FOUR_WHEELER,2400,15.0,3.0,E,3.0,0.0,1.0,CORPORATION,IH,2.0,27000.0,2
4504,BHK2,Chandra Layout,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,800,10.0,2.0,E,2.0,0.0,2.0,CORPORATION,IF,0.0,12000.0,3
4505,BHK2,Whitefield,ANYONE,1,1,0,1,FULLY_FURNISHED,BOTH,1075,1.0,2.0,E,2.0,1.0,4.0,CORP_BORE,AP,2.0,20000.0,10
4506,BHK2,Basavanagudi,ANYONE,0,1,0,1,SEMI_FURNISHED,TWO_WHEELER,950,0.0,2.0,S,2.0,1.0,6.0,CORPORATION,AP,1.0,25000.0,10
4507,BHK2,Nagondanahalli,FAMILY,1,1,0,1,SEMI_FURNISHED,BOTH,1160,0.0,2.0,N,2.0,3.0,4.0,BOREWELL,AP,2.0,18000.0,11
4508,BHK2,RR Nagar,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,800,1.0,2.0,S,2.0,0.0,2.0,CORP_BORE,IF,0.0,12500.0,3
4509,BHK2,Thirumalashettyhally,FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1041,0.0,2.0,E,4.0,1.0,3.0,BOREWELL,AP,2.0,18000.0,4
4510,BHK2,Ejipura,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1500,20.0,2.0,E,2.0,0.0,2.0,CORP_BORE,IF,0.0,20000.0,0
4511,BHK2,"bangalore ac service, Bismillah Nagar, Bengaluru, Karnataka, India",ANYONE,0,0,0,0,SEMI_FURNISHED,NONE,600,4.0,1.0,N,1.0,0.0,2.0,CORPORATION,IF,0.0,12000.0,1
4512,BHK3,Marathahalli,FAMILY,1,1,0,1,SEMI_FURNISHED,FOUR_WHEELER,2000,8.0,2.0,E,2.0,6.0,9.0,CORP_BORE,AP,2.0,35000.0,13
4513,BHK2,Yemalur,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,910,4.0,2.0,E,2.0,3.0,9.0,CORP_BORE,AP,1.0,18500.0,7
4514,BHK2,Kadugodi,ANYONE,0,1,1,1,SEMI_FURNISHED,BOTH,1100,5.0,2.0,N,2.0,0.0,4.0,CORPORATION,AP,1.0,15000.0,8
4515,BHK3,Bellandur,ANYONE,1,1,1,0,SEMI_FURNISHED,FOUR_WHEELER,1760,8.0,3.0,W,3.0,2.0,8.0,CORP_BORE,AP,2.0,32000.0,13
4516,BHK1,Suddagunte Palya,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,400,7.0,1.0,E,1.0,3.0,3.0,CORP_BORE,IF,0.0,9000.0,3
4517,BHK2,Sorahunase,FAMILY,0,0,0,1,FULLY_FURNISHED,BOTH,1185,1.0,2.0,E,4.0,1.0,4.0,BOREWELL,AP,2.0,19000.0,14
4518,BHK1,Sampangi Rama Nagara,ANYONE,0,0,0,1,SEMI_FURNISHED,NONE,500,1.0,1.0,E,1.0,3.0,3.0,CORPORATION,IH,1.0,12000.0,0
4519,BHK1,"Adugodi, Bengaluru, Karnataka, India",ANYONE,0,0,0,1,SEMI_FURNISHED,NONE,500,5.0,1.0,E,0.0,0.0,2.0,CORPORATION,IF,0.0,11000.0,0
4520,BHK1,"Stage 2,BTM 2nd Stage",ANYONE,0,0,0,1,SEMI_FURNISHED,NONE,900,10.0,1.0,NE,1.0,4.0,4.0,CORP_BORE,AP,0.0,15000.0,2
4521,BHK2,Bellandur,FAMILY,1,1,0,1,SEMI_FURNISHED,BOTH,1000,8.0,2.0,N,2.0,1.0,5.0,CORP_BORE,AP,2.0,22000.0,13
4522,BHK2,Arehalli,FAMILY,0,0,0,1,SEMI_FURNISHED,FOUR_WHEELER,1000,0.0,2.0,E,3.0,1.0,2.0,CORPORATION,IF,0.0,15000.0,3
4523,BHK3,Bellandur,FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1650,5.0,2.0,NE,3.0,1.0,10.0,BOREWELL,AP,2.0,35000.0,11
4524,BHK1,Jayanagar,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,350,3.0,1.0,E,1.0,2.0,2.0,CORPORATION,IF,0.0,10000.0,3
4525,BHK3,Nagarabhavi,ANYONE,0,1,0,0,SEMI_FURNISHED,BOTH,1875,1.0,2.0,E,3.0,1.0,4.0,CORP_BORE,AP,2.0,27000.0,5
4526,BHK2,Jayanagara 9th Block,FAMILY,0,1,0,1,SEMI_FURNISHED,BOTH,925,20.0,2.0,E,2.0,0.0,8.0,CORP_BORE,AP,0.0,19500.0,9
4527,BHK3,Bellandur,FAMILY,1,1,1,0,SEMI_FURNISHED,BOTH,1750,7.0,3.0,W,7.0,4.0,9.0,CORP_BORE,AP,2.0,32000.0,10
4528,BHK3,"Immadihalli,Whitefield",ANYONE,1,1,0,1,FULLY_FURNISHED,BOTH,1580,3.0,2.0,W,3.0,3.0,5.0,CORP_BORE,AP,3.0,30000.0,18
4529,BHK2,Vijaya Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,FOUR_WHEELER,600,6.0,2.0,S,4.0,1.0,2.0,CORP_BORE,IF,1.0,12500.0,0
4530,BHK3,Gunjur Palya,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1452,0.0,2.0,W,3.0,4.0,6.0,BOREWELL,AP,1.0,25000.0,14
4531,BHK1,Chamarajpet,FAMILY,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,390,20.0,1.0,S,0.0,0.0,0.0,CORP_BORE,IH,0.0,8000.0,1
4532,BHK1,Attiguppe,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,500,1.0,1.0,E,1.0,0.0,3.0,CORPORATION,IF,0.0,8000.0,0
4533,BHK2,BTM 2nd Stage,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,700,10.0,1.0,W,2.0,0.0,2.0,CORP_BORE,IF,0.0,17000.0,3
4534,BHK2,"Kadubeesanahalli,",BACHELOR,0,0,0,0,SEMI_FURNISHED,BOTH,1230,5.0,2.0,E,4.0,4.0,5.0,CORP_BORE,AP,1.0,23000.0,5
4535,BHK2,Richmond Town,FAMILY,0,1,0,1,SEMI_FURNISHED,BOTH,1550,10.0,2.0,E,4.0,1.0,2.0,CORPORATION,AP,3.0,45000.0,4
4536,BHK2,BTM Layout,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,600,0.0,2.0,E,2.0,0.0,3.0,BOREWELL,IF,0.0,16000.0,1
4537,BHK3,Viveka Nagar,ANYONE,0,0,0,1,FULLY_FURNISHED,NONE,1600,10.0,2.0,N,2.0,0.0,3.0,CORPORATION,IF,0.0,20000.0,1
4538,BHK2,Doddakannelli,FAMILY,1,1,1,1,SEMI_FURNISHED,BOTH,1030,2.0,2.0,N,2.0,1.0,4.0,CORP_BORE,AP,2.0,22000.0,14
4539,BHK1,"BTM, Stage 1",ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,400,6.0,1.0,N,1.0,2.0,3.0,CORP_BORE,IF,1.0,11500.0,4
4540,BHK1,Neelasandra,ANYONE,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,700,5.0,2.0,N,0.0,0.0,2.0,CORPORATION,IH,1.0,10000.0,1
4541,BHK3,Ejipura,ANYONE,0,1,1,1,SEMI_FURNISHED,BOTH,2045,15.0,3.0,SW,3.0,1.0,4.0,CORP_BORE,IF,3.0,38000.0,6
4542,BHK2,Mangammanapalya,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,3.0,2.0,E,2.0,2.0,3.0,CORP_BORE,IF,0.0,11000.0,3
4543,BHK2,Mahadevapura,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,750,5.0,2.0,N,1.0,1.0,2.0,CORP_BORE,IH,2.0,17000.0,1
4544,BHK2,"Marathahalli, Bengaluru, Karnataka, India",ANYONE,0,0,0,0,SEMI_FURNISHED,BOTH,1155,6.0,2.0,E,1.0,3.0,4.0,CORPORATION,AP,3.0,20500.0,6
4545,BHK2,Sunkadakatte,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1000,2.0,2.0,E,2.0,2.0,2.0,CORP_BORE,IF,0.0,10000.0,1
4546,BHK1,Jayanagar,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,8.0,1.0,E,1.0,3.0,3.0,CORP_BORE,IF,1.0,9000.0,0
4547,BHK2,Rajaji Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,NONE,550,35.0,1.0,W,2.0,1.0,2.0,CORPORATION,IF,0.0,10500.0,4
4548,BHK2,"West of Chord Road,Basaveshwar Nagar",FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1400,30.0,2.0,E,2.0,0.0,2.0,CORPORATION,IF,0.0,24000.0,1
4549,BHK2,Uttarahalli Hobli,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,900,4.0,1.0,E,0.0,2.0,3.0,CORPORATION,IF,0.0,11000.0,1
4550,RK1,Koramangala,BACHELOR,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,330,12.0,1.0,S,1.0,1.0,1.0,CORPORATION,IF,1.0,10000.0,1
4551,BHK1,Vijayanagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,600,4.0,1.0,N,4.0,3.0,2.0,CORP_BORE,IF,1.0,9000.0,4
4552,BHK1,Rajaji Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,450,35.0,1.0,S,1.0,0.0,2.0,CORPORATION,IF,0.0,8500.0,1
4553,BHK2,"Koramangala, Bengaluru, Karnataka, India",ANYONE,0,1,0,1,SEMI_FURNISHED,NONE,1200,10.0,2.0,SW,2.0,6.0,6.0,CORP_BORE,IH,2.0,35000.0,4
4554,BHK2,RR Nagar,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,800,0.0,2.0,N,2.0,1.0,2.0,CORP_BORE,IF,0.0,12000.0,2
4555,BHK2,Domlur,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1000,11.0,2.0,W,2.0,1.0,2.0,CORPORATION,IF,1.0,22000.0,2
4556,BHK2,Padmanabhanagar,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1200,10.0,2.0,E,2.0,0.0,1.0,CORPORATION,IF,0.0,13500.0,3
4557,BHK2,Vimanapura,FAMILY,0,0,0,0,SEMI_FURNISHED,BOTH,1000,2.0,2.0,N,2.0,1.0,1.0,CORP_BORE,IF,1.0,18000.0,2
4558,BHK2,BTM Layout,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,850,7.0,1.0,E,1.0,1.0,2.0,CORPORATION,IF,0.0,15000.0,3
4559,BHK2,"Spoorthi saahithya apartment, ITPB Main Road, Mahadevapura, Bengaluru, Karnataka, India",ANYONE,1,1,0,1,SEMI_FURNISHED,BOTH,1080,1.0,2.0,N,2.0,1.0,4.0,CORP_BORE,AP,2.0,25000.0,14
4560,BHK4,Banashankari 2nd Stage,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1100,1.0,4.0,S,2.0,1.0,2.0,CORPORATION,IH,1.0,30000.0,1
4561,BHK1,Jayanagar,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,500,10.0,1.0,W,1.0,0.0,1.0,CORP_BORE,IF,0.0,10000.0,7
4562,BHK1,BTM Layout 1,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,600,3.0,1.0,E,2.0,2.0,2.0,CORPORATION,IH,1.0,10000.0,1
4563,BHK2,"Garudachar Palya,Mahadevapura",ANYONE,1,1,0,0,SEMI_FURNISHED,BOTH,1300,0.0,2.0,E,2.0,2.0,4.0,CORP_BORE,AP,1.0,26000.0,10
4564,RK1,Murgesh Pallya,ANYONE,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,220,10.0,1.0,N,2.0,3.0,3.0,CORPORATION,IF,1.0,10000.0,4
4565,BHK3,Banashankari,FAMILY,0,0,0,0,SEMI_FURNISHED,NONE,1500,9.0,3.0,E,3.0,1.0,2.0,CORP_BORE,IF,1.0,25000.0,2
4566,BHK1,Marathahalli,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,800,5.0,1.0,E,3.0,1.0,3.0,CORP_BORE,IF,1.0,14300.0,1
4567,BHK2,Bennigana Halli,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,750,9.0,2.0,E,3.0,3.0,3.0,CORP_BORE,AP,1.0,17000.0,2
4568,BHK2,Wilson Garden,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1200,30.0,1.0,S,2.0,1.0,1.0,CORPORATION,IF,1.0,19000.0,3
4569,BHK1,Doddanekkundi,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,440,1.0,1.0,N,2.0,3.0,3.0,CORPORATION,IH,1.0,13000.0,1
4570,RK1,Marathahalli,ANYONE,0,1,0,1,SEMI_FURNISHED,BOTH,340,0.0,1.0,N,1.0,3.0,6.0,CORP_BORE,AP,1.0,8000.0,9
4571,BHK2,Uttarahalli Hobli,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,1100,14.0,2.0,N,2.0,0.0,1.0,CORP_BORE,IH,0.0,12500.0,1
4572,BHK2,Banashankari,FAMILY,0,1,0,0,SEMI_FURNISHED,BOTH,1100,1.0,2.0,N,2.0,4.0,4.0,CORP_BORE,AP,0.0,22000.0,6
4573,BHK2,Bhoganhalli,ANYONE,1,1,1,0,FULLY_FURNISHED,BOTH,1350,0.0,2.0,E,2.0,7.0,12.0,BOREWELL,AP,1.0,43000.0,12
4574,BHK2,Jayanagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,900,15.0,2.0,N,4.0,2.0,3.0,CORPORATION,AP,0.0,17000.0,4
4575,BHK2,Ejipura,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,1000,8.0,1.0,E,1.0,1.0,2.0,CORP_BORE,IF,1.0,15000.0,1
4576,BHK2,Kasavanahalli,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1000,1.0,2.0,S,4.0,1.0,4.0,CORP_BORE,IF,1.0,16000.0,2
4577,BHK2,Bommanahalli,FAMILY,0,1,1,0,SEMI_FURNISHED,BOTH,1350,1.0,2.0,N,2.0,4.0,4.0,CORP_BORE,AP,2.0,18000.0,11
4578,BHK3,Kumaraswamy Layout II Stage,ANYONE,0,1,0,0,FULLY_FURNISHED,BOTH,1370,3.0,2.0,E,3.0,3.0,3.0,CORP_BORE,AP,2.0,21000.0,4
4579,BHK1,Banashankari,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,900,1.0,1.0,N,1.0,1.0,3.0,CORP_BORE,IF,1.0,9000.0,1
4580,BHK2,"Maithri Layout,Kadugodi",ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1185,0.0,2.0,W,2.0,2.0,14.0,CORP_BORE,AP,2.0,24000.0,15
4581,BHK2,Halasuru,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,750,10.0,2.0,N,4.0,1.0,2.0,CORPORATION,IF,0.0,15000.0,2
4582,BHK3,"Giri Nagar, II Phase, Banashankari, Bengaluru, Karnataka 560085, India",FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1000,5.0,2.0,E,2.0,1.0,2.0,CORP_BORE,IF,1.0,21000.0,0
4583,BHK3,C V Raman Nagar,FAMILY,1,1,0,1,SEMI_FURNISHED,BOTH,1500,10.0,2.0,E,3.0,3.0,5.0,CORP_BORE,AP,3.0,27500.0,10
4584,BHK3,Banashankari Stage I,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1200,3.0,3.0,S,5.0,2.0,3.0,CORPORATION,IF,1.0,16000.0,2
4585,BHK2,Sudhama Nagar,FAMILY,1,1,0,1,SEMI_FURNISHED,BOTH,1000,1.0,2.0,N,2.0,2.0,4.0,CORPORATION,IF,2.0,22000.0,6
4586,BHK2,BTM 2nd Stage,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,855,1.0,2.0,N,2.0,0.0,1.0,CORPORATION,IF,0.0,23000.0,1
4587,BHK2,Whitefield,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,800,3.0,1.0,E,1.0,3.0,3.0,BOREWELL,IF,0.0,12000.0,1
4588,BHK2,Bhoganhalli,ANYONE,1,1,0,0,SEMI_FURNISHED,BOTH,1200,3.0,2.0,W,6.0,4.0,4.0,CORP_BORE,AP,3.0,22000.0,13
4589,BHK2,LBS Nagar,ANYONE,1,0,0,1,SEMI_FURNISHED,TWO_WHEELER,750,20.0,2.0,W,2.0,0.0,1.0,CORPORATION,IF,1.0,16000.0,4
4590,BHK1,Yemalur,ANYONE,0,0,0,0,NOT_FURNISHED,TWO_WHEELER,450,3.0,1.0,N,0.0,2.0,2.0,CORPORATION,IF,1.0,8500.0,3
4591,BHK2,JP Nagar 5th Phase,FAMILY,0,0,0,1,SEMI_FURNISHED,BOTH,1200,5.0,2.0,E,3.0,0.0,2.0,CORPORATION,IF,0.0,16300.0,2
4592,BHK2,Kaggadasapura,FAMILY,1,1,0,0,SEMI_FURNISHED,BOTH,1150,0.0,2.0,E,2.0,0.0,4.0,CORP_BORE,AP,2.0,14500.0,14
4593,BHK2,"Vinayaka Nagar,Murgesh Pallya",FAMILY,0,1,0,1,SEMI_FURNISHED,BOTH,1185,7.0,2.0,E,2.0,1.0,5.0,CORPORATION,AP,2.0,25000.0,9
4594,BHK3,Hoodi,FAMILY,0,1,0,1,SEMI_FURNISHED,BOTH,1716,5.0,2.0,N,3.0,2.0,4.0,CORP_BORE,AP,2.0,21000.0,7
4595,BHK1,BTM Layout,ANYONE,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,600,5.0,1.0,SE,1.0,2.0,2.0,CORPORATION,IF,1.0,9000.0,2
4596,BHK2,Nagondanahalli,ANYONE,0,0,0,1,SEMI_FURNISHED,BOTH,1250,1.0,2.0,NE,2.0,1.0,4.0,BOREWELL,AP,2.0,16000.0,9
4597,BHK2,RR Nagar,FAMILY,0,0,0,1,SEMI_FURNISHED,TWO_WHEELER,700,3.0,1.0,E,2.0,1.0,3.0,CORPORATION,IH,1.0,9000.0,4
4598,BHK1,Bilekahalli,FAMILY,0,0,0,0,NOT_FURNISHED,TWO_WHEELER,400,3.0,1.0,E,0.0,2.0,2.0,CORP_BORE,IF,0.0,8000.0,1
4599,BHK2,HSR Layout,FAMILY,0,0,0,0,SEMI_FURNISHED,BOTH,1100,3.0,2.0,E,1.0,2.0,3.0,CORP_BORE,IF,2.0,17000.0,4
4600,BHK1,HSR Layout,FAMILY,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,400,1.0,1.0,E,2.0,3.0,3.0,CORP_BORE,IF,1.0,16000.0,3
4601,BHK1,Koramangala,ANYONE,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,600,11.0,1.0,N,0.0,0.0,2.0,CORP_BORE,IF,0.0,9000.0,3
4602,BHK2,Panathur,FAMILY,0,0,0,0,SEMI_FURNISHED,TWO_WHEELER,550,1.0,2.0,NE,2.0,1.0,1.0,BOREWELL,IF,1.0,17000.0,3
4603,BHK3,Whitefield,ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1600,4.0,3.0,E,3.0,6.0,8.0,CORP_BORE,AP,2.0,27000.0,13
4604,BHK2,"Rainbow Drive,Halanayakanahalli",ANYONE,1,1,1,1,SEMI_FURNISHED,BOTH,1349,2.0,2.0,E,2.0,6.0,14.0,CORPORATION,AP,2.0,28000.0,16
4605,BHK2,Kathreguppe,ANYONE,0,0,0,1,NOT_FURNISHED,TWO_WHEELER,600,3.0,2.0,E,0.0,2.0,2.0,CORP_BORE,AP,1.0,10000.0,4
4606,BHK3,Whitefield,ANYONE,1,1,1,1,FULLY_FURNISHED,BOTH,1234,5.0,3.0,N,3.0,3.0,3.0,BOREWELL,AP,2.0,29000.0,11
